,verse,citation count,verse texts,filter row
563,Matt 25:41,4,"['Potom řekne i těm, kteří budou na levici: ,Odejděte ode mne, zlořečení, do ohně věčného, který jest připraven ďáblu a andělům jeho.', 'Potom i těm na levici dí: Jděte ode mne zlořečení do ohně věčného, kterýž jest připraven ďáblu i andělům jeho.']",low
564,Mark 14:65,1,"['A počali někteří naň plvati, a tvář jeho zakrývati, a jej pohlavkovati, a říkati jemu: Prorokůj: a služebníci v líce ho bili.']",low
565,John 20:2,2,"['I běžela a přišla k Šimonu Petrovi a k jinému učeníku, kterého miloval Ježíš a řekla jim: „Vzali Pána z hrobu, a nevíme, kam ho položili“.', 'Protož běžela, a přišla k Šimonovi Petrovi, a k jinému učedlníku, kteréhož miloval Ježíš, i dí jim: Vzali Pána z hrobu, a nevíme, kde jej položili.']",low
566,Matt 28:2,2,"['A hle, zemětřesení stalo se veliké; neboť anděl Páně sestoupil s nebe a přistoupiv odvalil kámen a posadil se na něm.', 'Hle, nastalo veliké zemětřesení; neboť anděl Páně sestoupil z nebe, přistoupil, odvalil kámen a posadil se na něj. ']",low
567,John 5:28,2,"['Nedivte se tomu, neboť přichází hodina, ve které všichni, kteří v hrobech jsou, uslyší hlas jeho,', 'Nedivtež se tomu; neboť přijde hodina, v kterouž všickni, kteříž v hrobích jsou, uslyší hlas jeho.']",low
568,Mark 9:9,7,"['I podrželi slovo to u sebe, ač se ptali, co by to znamenalo: „Až vstane z mrtvých.“']",low
569,2Tim 4:7,17,"['Dobrý boj sem bojoval, běh sem dokonal, víru sem zachoval.', 'Boj výborný bojoval jsem, běh jsem dokonal, víru jsem zachoval.', 'Dobrý boj jsem bojoval, běh jsem dokonal, víru jsem zachoval;']",low
570,1Cor 15:17,8,"['Nevstal-liť Kristus z mrtvých, marná jest víra vaše, nebo ještě jste v hříších svých.']",low
571,Sir 51:24,2,"['Umínil jsem si [totiž], že budu ji činit; horlil jsem o dobro, a nebyl jsem zahanben.']",low
572,Deut 31:20,6,"['Nebo uvedu jej do země, kterouž jsem s přísahou zaslíbil otcům jeho, oplývající mlékem a strdí, kdežto bude jísti a nasytí se a ztuční. Tehdy obrátí se k bohům cizím a sloužiti bude jim, i popudí mne a zruší smlouvu mou.']",low
573,Mark 10:25,2,"['Snáze jest velbloudu projíti uchem jehelním, než boháči vejíti do království Božího.“']",low
574,Matt 16:19,4,"['A tobě dám klíče království nebeského. A což bys koli svázal na zemi, budeť svázáno i na nebi; a což bys koli rozvázal na zemi, budeť rozvázáno i na nebi.', 'A tobě dám klíče Království Nebeského: a cožkoli svážeš na zemi, bude-ť svázáno i na nebi: a cožkoli rozvážeš na zemi, bude-ť rozvázáno i na nebi.']",low
575,Matt 18:18,2,"['Amen pravím vám: Cožkoli svížete na zemi, budeť svázáno i na nebi; a cožkoli rozvížete na zemi, budeť rozvázáno i na nebi.', 'Amen pravím vám, cožkoli svážete na zemi, bude-ť svázáno i na Nebi: a cožkoli rozvážete na zemi, bude-ť rozvázáno i na Nebi.']",low
576,John 21:15,1,"['Když tedy poobědvali, dí Ježíš Šimonovi Petrovi: Šimone Janů, miluješ-li mne více nežli tito? Dí jemu: Ovšem Pane, ty víš, žeť miluji tebe. Dí jemu: Pasiž beránky mé.']",low
577,Luke 16:3,3,"['I dí vládař sám v sobě: Co učiním? Teď pán můj odjímá ode mne vládařství. Kopati nemohu, žebrati se stydím.']",low
578,Luke 10:3,1,"['Jdětež. Aj, já posílám vás jako berany mezi vlky.']",low
579,Matt 15:14,1,"['Nechte jich; slepí jsou to vůdcové slepých; vede-li však slepý slepého, padnou oba do jámy.“']",low
580,Matt 7:15,8,"['Pilně se pak varujte falešných proroků, kteříž přicházejí k vám v rouše ovčím, ale vnitř jsou vlci hltaví.', 'Pilně se varújte falešných Proroků, kteříž přicházejí k vám v rouše ovčím, vnitř pak jsou vlci hltaví:', 'Mějte se na pozoru před nepravými proroky, kteří přicházejí k vám v rouše ovčím, uvnitř však jsou vlci draví.']",low
581,Exod 2:4,2,"['A postavila sestru jeho zdaleka, aby zvěděla, co se s ním díti bude.']",low
582,John 3:19,3,"['Totoť pak jest ten soud, že světlo přišlo na svět, ale milovali lidé více tmu nežli světlo; nebo skutkové jejich byli zlí.', 'To pak jest soud, že světlo přišlo na svět, a lidé milovali více tmu nežli světlo; neboť skutkové jejich byli zlí.']",low
583,Job 19:25,4,"['Ačkoli já vím, že vykupitel můj živ jest, a že v den nejposlednější nad prachem se postaví.']",low
584,Deut 7:6,1,"['Nebo jsi národ zasvěcený Hospodinu, Bohu svému; tebe vyvolil Hospodin, Bůh tvůj, ze všech národů, kteří jsou na zemi, bys byl zvláštním způsobem národem jeho.']",low
585,2John 1:4,1,"['Velice jsem se zaradoval, že jsem shledal mezi tvými dětmi takové, které žijí v pravdě, jak jsme přijali příkaz od Otce. ']",low
586,Rom 8:19,1,['Vždyť i tvorstvo očekává s toužebnosti zjevení synů Božích. '],low
587,Rev 22:13,3,"['Jáť jsem Alfa i Oméga, počátek i konec, první i poslední.']",low
588,Matt 24:28,1,"['Kdežkoli bude tělo, tu-ť se shromáždí i orlové.']",low
589,John 8:58,4,"['Řekl jim Ježíš: Amen, amen pravím vám, prvé nežli Abraham byl, já jsem.', 'Ježíš řekl jim: „Vpravdě, vpravdě pravím vám: Prve než Abraham byl, jsem já.“']",low
590,Prov 14:34,3,"['Spravedlnost zvyšuje národ, ale hřích jest ku pohanění národům.']",low
591,John 10:30,15,['Já a Otec jedno jíme.'],low
592,1Pet 2:24,1,"['kterýžto hříchy naše na svém těle sám vnesl na dřevo: abychom hříchům zemrouce, spravedlnosti živi byli: jehož zsinalostí uzdraveni ste.']",low
593,John 7:34,1,"['Budete mě hledati a nenaleznete, a kde jsem já, (tam) vy nemůžete přijíti.“']",low
594,Matt 25:35,5,"['neboť lačněl jsem, a dali jste mi jísti, žíznil jsem, a dali jste mi píti; hostem jsem byl, a přijali jste mě;', '+ nebo sem lačněl, a dali ste mi jísti: žíznil sem, a dali ste mi píti: hostem sem byl, a přijali ste mne:', 'Nebo jsem lačněl, a dali jste mi jísti; žíznil jsem, a dali jste mi píti; hostem jsem byl, a přijímali jste mne;']",low
595,Exod 40:19,1,"['Když vnesl archu do stánku, zavěsil před ni oponu, aby vyplnil příkaz Hospodinův.']",low
596,Luke 14:12,1,"['Pravil však i k tomu, který ho pozval: „Strojíš-li oběd neb večeři, nezvi přátel svých, ani bratrů svých, ani příbuzných svých, ani sousedů bohatých, aby snad také oni nepozvali zase tebe a nedostalo se ti odplaty.']",low
597,Luke 14:13,2,"['Ale když strojíš hostinu, povolávej chudých, zmrzačelých, kulhavých a slepých,']",low
598,Luke 14:15,1,"['Uslyšev to jeden ze spolustolujícich, řekl jemu: „Blažen, kdo bude jísti chléb v království Božím.“']",low
599,Luke 14:16,1,"['On pak řekl jemu: Člověk nějaký učinil večeři velikou, a pozval mnohých.']",low
600,Matt 23:13,3,"['Ale běda vám, zákonníci a farizeové pokrytci, že zavíráte království nebeské před lidmi; nebo sami tam nevcházíte, a těm, kteříž by vjíti chtěli, vcházeti nedopouštíte.']",low
601,Matt 23:33,1,"['Hadové, plémě zmijí, kterak utečete před soudem pekelným?']",low
602,Matt 9:4,3,"['Ale Ježíš, znaje smýšlení jejich, řekl: „Proč myslíte zlé věci v srdcích svých?']",low
603,John 15:27,1,"['avšak i vy budete svědčiti, neboť jste se mnou od počátku“.']",low
604,Matt 26:61,1,"['a řekli: Tento řekl: Mohu zbořiti Chrám Boží, a ve třech dnech zase jej vystavěti.']",low
605,Matt 19:23,1,['Ježíš pak řekl učeníkům svým: „Vpravdě pravím vám: Boháč vejde těžko do království nebeského.'],low
606,Matt 20:19,1,"['vydají jej pohanům, aby ho potupili, bičovali jej a ukřižovali; ale třetího dne bude vzkříšen.“']",low
607,Mark 16:6,4,"['On pak řekl jim: „Nebojte se; hledáte Ježíše Nazaretského, ukřižovaného; vstalí jest; není ho tuto; hle, místo, kdež jej položili.']",low
608,John 11:24,3,"['Dí jemu Marta: „Vím, že vstane při vzkříšení v den poslední.“']",low
609,Mark 15:18,2,"['a počali ho pozdravovati: „Zdráv buď, králi židovský“,']",low
610,Luke 10:25,1,"['A aj jeden v Zákoně učený vstal, pokoušeje ho, a řka: Mistře, co čině, život věčný obdržím?']",low
611,Luke 10:29,3,"['Ale on chtěje se ospravedlniti, řekl k Ježíšovi: „A kdo jest můj bližní?“', 'On však se chtěl ospravedlniti a řekl Ježíšovi: „A kdo je můj bližní?“']",low
612,John 1:4,1,"['V něm byl život, a život byl světlo lidí.']",low
613,John 1:5,2,"['a Světlo ve tmě svítí, a tma ho nepojala.']",low
614,Matt 28:5,1,"['I promluvil anděl a řekl ženám: „Nebojte se vy! Neboť vím, že hledáte Ježíše, který byl ukřižován.']",low
615,2Tim 4:2,2,"['hlásej slovo, naléhej včas i nevčas, usvědčuj, přimlouvej, kárej, (a to) se vší trpělivostí a moudrostí učitelskou.', 'kaž slovo, naléhej, ať je to vhod či nevhod, přesvědčuj, hroz, napomínej, s veškerou shovívavostí a s učením. ']",low
616,Ps 53:4,1,"['Bože, vyslyš modlitbu mou, popřej sluchu slovům úst mých.']",low
617,Mark 14:27,5,"['I řekl jim Ježíš: „Všichni pohoršíte se nade mnou této noci; neboť psáno jest: ,Bíti budu pastýře a rozprchnou se ovce.‘', 'Ježíš jim dí: „Všichni se odvrátíte, neboť je psáno: „Budu bíti pastýře, a ovce se rozprchnou“. ']",low
618,Luke 16:13,9,"['Nižádný služebník nemůž dvěma pánům sloužiti: nebť zajisté jednoho nenáviděti bude, a druhého milovati: aneb jednoho přidržeti se bude, a druhým pohrdne. nemůžte Bohu sloužiti a mamoně.', 'Žádný služebník nemůže dvěma pánům sloužiti, neboť buď jednoho bude nenáviděti a druhého milovati, aneb jednoho se přidrží a druhým pohrdne. Nemůžete Bohu sloužiti a mamoně.“', '„Žádný čeledín nemůže sloužiti dvěma pánům; buď totiž jednoho bude nenáviděti a druhého milovati, nebo jednomu dá přednost a druhým pohrdne. Nemůžete sloužiti Bohu a mamonu.“']",low
619,2Sam 23:21,1,"['ten zabil také kteréhos Egypťana, muže, který stál za podívanou; ten měl v rukou kopí, i vyšel na něho s holí, mocí vytrhl Egypťanovi kopí z ruky a zabil ho jeho (vlastním) kopím.']",low
620,Rev 2:17,1,"['Kdo má ucho, slyš, co Duch praví Církvím: Tomu kterýž svítězí, dám mannu skrytou, a dám jemu kamének bílý: a na kaménku jméno nové napsané, kteréhož žádný neví, než ten, kdož (je) přijímá.']",low
621,Mark 6:18,1,['Nebo pravil Jan Heródesovi: Neslušíť tobě míti manželky bratra svého.'],low
622,Judg 6:20,1,"['Anděl Hospodinův mu řekl: „Vezmi maso a nekvašené chleby, polož (to) na onu skálu a vylej na to polévku."" Když tak učinil,']",low
623,Mark 8:2,8,"['„Lítost mám nad zástupem, neboť již tři dni trvají se mnou a nemají, co by jedli;']",low
624,Eccl 1:7,1,"['Všecky řeky vcházejí do moře, a moře nepřeplňuje se; na místo, odkud řeky vyšly, vracejí se, aby zas tekly.']",low
625,Acts 2:22,1,"['Muží Izraelští, slyšte slova tato: Ježíše Nazarétského, muže zchváleného od Boha mezi vámi, mocmi, a zázraky, a znameními, kteréž činil Bůh skrze něho u prostřed vás, jakož i vy víte:']",low
626,Sir 3:27,1,"['Srdce tvrdé zle se míti bude na konec, neboť kdo miluje nebezpečí, zahyne v něm.']",low
627,2Cor 12:4,1,"['vtržen do ráje a uslyšel slova nevypravitelná, kterých nepřísluší člověku mluviti.']",low
628,2Cor 12:2,1,"['Znám člověka v Kristu, jenž před čtrnácti roky byl vtržen až do třetího nebe, zdali v těle, nevím, aneb-li kromě, těla, nevím; Bůh to ví.']",low
629,Luke 8:8,6,"['A jiné padlo v zemi dobrou a vzešedši vydalo užitek stonásobný.“ To pověděv zvolal: „Kdo má uši k slyšení, slyš.“']",low
630,John 14:26,5,"['Utěšitel pak Duch Svatý, kteréhož pošle Otec ve jménu mém, tenť vás naučí všem věcem, a připomene vám všecky věci, kteréžkoli budu mluviti vám.', 'Utěšitel pak, ten Duch svatý, kteréhož pošle Otec ve jménu mém, onť vás naučí všemu, a připomeneť vám všecko, což jsem koli mluvil vám.', 'Utěšitel pak, Duch svatý, kteréhož Otec pošle ve jménu mém, ten vás naučí všem věcem a připomene vám všecko, co jsem mluvil vám.']",low
631,1Cor 3:16,5,"['Nevíte, že jste chrámem Božím, a že Duch Boží přebývá ve vás?', 'Zdaliž nevíte, že chrám Boží jste, a Duch Boží v vás přebývá?', 'Nevíte-li, že Chrám Boží jste, a Duch Boží přebývá v vás?']",low
632,Gen 42:9,1,"['I rozpomenuv se na sny, kteréž byl někdy viděl, řekl k nim: Špehéři jste: abyste shlédli mdlejší místa země, přišli ste.']",low
633,Luke 9:62,3,"['Ježíš mu odpověděl: „Nikdo, kdo vloží ruku na pluh a ohlíží se zpět, není způsobilý pro království Boží.“', 'Řekl jemu Ježíš: Žádný, kdož vztáhna ruku svou k pluhu, ohlídal by se nazpět, není způsobný k království Božímu.']",low
634,Rev 3:10,1,"['Poněvadž si zachoval slovo trpělivosti mé, i já tebe zachovám od hodiny pokušení, kteréž přijde na všecken svět k zkušení přebývajících na zemi.']",low
635,Rev 3:8,1,"['Vím skutky tvé. Hle dal sem před tebou dvéře otevřené, kterých žádný nemůže zavříti: nebo máš malou moc, a zachoval si slovo mé, a nezapřel si jména mého.']",low
636,Rev 3:11,1,"['Hle přicházím brzo: drž co máš, aby žádný nevzal koruny tvé.']",low
637,Dan 10:6,1,"['a tělo jeho jako chrysolit. Tvář jeho zářila jako blesk, oči jeho jako hořící pochodně, ramena jeho a tělo dolů až k nohám jako rozpálená měď, a zvuk řeči jeho jako hukot množství.']",low
638,Num 16:29,1,"['Jestliže tak jako jiní lidé mrou, zemrou i tito, a navštívením obecným všechněm lidem jestliže navštíveni budou, neposlal mne Hospodin.']",low
639,Ps 147:1,1,"['Chval, Jerusaleme, Hospodina, chval svého Boha, Sione,']",low
640,Heb 13:8,1,['Ježíš Kristus včera i dnes: on i na věky.I'],low
641,John 5:33,4,"['Vy jste vyslali poselství k Janovi, a on vydal svědectví pravdě.', 'Vy jste byli poslali k Janovi, a on svědectví vydal pravdě.']",low
642,John 18:37,9,"['Tedy řekl jemu Pilát: Tedy Král jsi ty? Odpověděl Ježíš: Ty pravíš, že Král jsem já. Já jsem se k tomu narodil, a proto sem na svět přišel, abych svědectví vydal pravdě: každý, kdož jest z pravdy, slyší hlas můj.', 'I řekl jemu Pilát: Tedy král jsi ty? Odpověděl Ježíš: Ty pravíš, že já král jsem. Jáť jsem se k tomu narodil, a proto jsem na svět přišel, abych svědectví vydal pravdě. Každý, kdož jest z pravdy, slyší hlas můj.', 'I řekl mu Pilát: „Tedy králem jsi ty?“ Ježíš odpověděl: „Ano, já jsem král. Já jsem se k tomu narodil a proto jsem přišel na svět, abych vydal svědectví pravdě. Každý, kdo jest z pravdy, slyší hlas můj.“']",low
643,Matt 9:5,4,"['Co jest snáze říci: „Odpouštějí se tobě hříchové tvoji,“ aneb říci: „Vstaň a choď?“']",low
644,Rev 14:10,1,"['i ten-ť bude píti víno hněvu Božího, které jest smíšeno s čistým vínem v kalichu hněvu jeho, a trápen bude ohněm a sirou, před obličejem Anjelů svatých, a před obličejem Beránka:']",low
645,Ezek 16:19,1,"['Chléb můj, který jsem tobě dal, běl, olej a med, jimiž jsem tě krmil, kladlas před obličej jejich k líbezné vůni. Stalo se, praví Hospodin Bůh.']",low
646,Luke 12:8,2,"['Pravím pak vám: Každého, kdo mě vyzná před lidmi, i Syn člověka vyzná před anděly Božími.']",low
647,Acts 5:39,4,"['je-li však z Boha, nebudete moci je zrušiti; - abyste snad nebyli shledáni jako odbojní Bohu.“ I poslechli ho.']",low
648,Matt 16:4,1,"['Způsob tedy nebe rozsouditi umíte: znamení pak časů nemůžete věděti? Národ zlý a cizoložný znamení hledá: a znamení jemu nebude dáno, než znamení Jonáše Proroka. a opustiv je, odšel.']",low
649,Mark 1:7,3,"['A kázal, řka: Jde za mnou silnější nežli já, kterémuž nejsem hoden, sehna se, rozvázati řeménka u obuvi jeho.']",low
650,Gen 13:14,1,"['I řekl Hospodin k Abramovi, když se byl Lot od něho odloučil: Pozvedni očí svých a pohled s místa, na němž nyní jsi, na sever, na jih, na východ a na západ.']",low
651,Mark 10:31,4,['Mnozí pak první budou posledními a poslední prvními.“'],low
652,Matt 19:30,4,['Mnozí pak první budou posledními a poslední prvními.“'],low
653,Ps 126:1,1,"['Stupňová píseň Šalomounova. Nestaví-li Hospodin domu, marně se lopotí, kteří jej stavějí. Neostříhá-li Hospodin města, nadarmo bdí, kdo je hlídá.']",low
654,2Sam 5:4,2,"['Ve třiceti letech byl David, když počal kralovati a kraloval čtyřicet let.']",low
655,Rom 16:24,6,"['Milost Pána našeho, Ježíše Krista, budiž se všemi vámi. Amen.']",low
656,Matt 10:36,2,"['a nepřátelé člověka, domácí jeho.', 'a nepřátelé člověka jsou domácí jeho.']",low
657,Gen 47:8,1,['Tedy řekl Farao k Jákobovi: Kolik jest let života tvého?'],low
658,Gen 47:9,1,"['Odpověděl: Dnové putování mého jsou, sto třidceti let, malí a zlí, a nedosti až ke dnům otců mých, v nichž putovali.']",low
659,Mark 15:34,6,"['a v hodinu devátou Ježíš zvolal hlasem velikým: „Eloi, Eloi, lamma sabaktani?“ to jest v překladě: „Bože můj, Bože můj, proč jsi mě opustil?“', 'A v hodinu devátou zvolal Ježíš hlasem velikým, řka: Elói, Elói, lama zabachtani? Což se vykládá: Bože můj, Bože můj, pročs mne opustil?']",low
660,Matt 27:46,6,"['Kolem tří hodin vzkřikl Ježíš hlasitě: „Eli, Eli, lema sabachthani?“, to jest „Můj Bože, můj Bože, proč jsi mě opustil?“', 'A okolo hodiny deváté Ježíš zvolal hlasem velikým: „Eli, Eli, lamma sabaktani,“ to jest: „Bože můj, Bože můj, proč jsi mne opustil?“']",low
661,John 15:19,2,"['Byste byli z světa, svět, což jest jeho, miloval by; že pak nejste z světa, ale já z světa vyvolil jsem vás, protož vás svět nenávidí.']",low
662,Gen 24:7,1,"['Hospodin, Bůh nebe, který mě vzal z domu otce mého a ze země, v níž jsem se zrodil; ten, jenž ke mně mluvil a přisahal mi, řka: „Potomstvu tvému dám tuto zemi"" – ten pošle před tebe svého anděla, abys odtamtud dostal manželku pro mého syna.']",low
663,John 11:3,3,"['Sestry k němu poslaly se vzkazem: „Pane, hle, ten, kterého miluješ, je nemocen.“', 'Sestry jeho poslaly tedy k němu a vzkázaly: „Pane, hle ten, kterého miluješ, jest nemocen.“']",low
664,Luke 23:46,2,"['A zvolav Ježíš hlasem velikým, řekl: Otče, v ruce tvé poroučím ducha svého. A to pověděv, umřel.']",low
665,John 16:19,4,"['I poznal Ježíš, že se ho chtěli tázati, a řekl jim: „O tom se tážete mezi sebou, že jsem řekl: ,Maličko, a neuzříte mne, a opět maličko, a uzříte mě?‘']",low
666,Gen 2:7,2,"['utvořil Hospodin Bůh člověka z hlíny země, a vdechl v tvář jeho dech života; tak se stal člověk živoucím živočichem.', 'Protož učinil Pán Bůh člověka z hliny země, a vdechl na tvář jeho dchnutí života, i učiněn jest člověk v duši živou.']",low
667,Ps 8:6,1,"['Nebo učinil jsi ho málo menšího andělů, slávou a ctí korunoval jsi jej.']",low
668,Luke 18:16,2,"['Ježíš však je zavolal k sobě a řekl: „Nechte děti přicházeti ke mne a nebraňte jim, neboť takovým náleží království Boží.']",low
669,1Sam 18:12,1,"['A bál se Saul Davida, proto že Hospodin byl s ním, a od Saule odstoupil.']",low
670,Ps 23:5,1,"['Tomu se dostane požehnání od Pána, a milosrdenství od Boha, spásy jeho.']",low
671,John 15:12,2,"['To je můj příkaz, abyste milovali jeden druhého, jako jsem já miloval vás. ']",low
672,Jas 3:9,3,"['Jím velebíme Pána a Otce, a jím zlořečíme lidem, stvořeným podle obrazu Božího.']",low
673,Mark 10:7,3,['Proto-ť  opustí člověk otce svého i matku: a přidrží se ženy své:'],low
674,Ps 23:3,2,"['Duši mou očerstvuje, vodí mne po stezkách spravedlnosti pro jméno své.']",low
675,Ezek 18:4,4,"['Hle, všecky duše moje jsou; jak duše otcova, tak i duše synova jest moje; duše, která se proviní, ta umře!']",low
676,2Tim 4:3,3,"['Neboť bude čas, kdy zdravého učení nesnesou, nýbrž nashromáždí si učitelů podle vlastních chtíčů, majíce šimráni v uších,']",low
677,1Sam 28:15,1,"['A řekl Samuel Saulovi: ,„Proč mě znepokojuješ, že jsem byl vyvolán?"" Saul odpověděl: „Soužen jsem náramně; neboť Filišťané bojují proti mně a Bůh odstoupil ode mne: nechtěl mi odpověděti ani (skrze) proroky ani (skrze) sny; proto povolal jsem tebe, bys mi oznámil, co mám dělati.']",low
678,Gen 4:17,1,"['Když Kain poznal svoji ženu, ona počala a porodila Henocha. A. vystavěl pevné sídlo, jež nazval jménem svého syna, Henocha.']",low
679,John 2:5,1,"['Dí matka jeho služebníkům: „Cokoli vám řekne, učiňte.“']",low
680,Num 33:38,6,"['Tu vstoupil Aron kněz na horu, jenž slove Hor, k rozkazu Hospodinovu, a umřel tam, léta čtyřidcátého po vyjití synů Izraelských z země Egyptské, v první den měsíce pátého.']",low
681,Luke 2:48,4,"['A uzřevše, divili se. A řekla matka jeho k němu: Synu, proč si nám tak učinil? aj, otec tvůj a já, s bolestí hledalisme tebe.', 'Když jej uviděli, zarazili se a matka mu řekla: „Dítě, co jsi nám to učinil? Hle, tvůj otec i já úzkostlivě jsme tě hledali.“']",low
682,Luke 2:49,3,"['I řekl k nim: „Co jest, že jste mě hledali? Zdaliž jste nevěděli, že já musím býti v tom, co jest Otce mého?“']",low
683,Matt 7:8,5,"['neboť každý, kdo prosí, béře, kdo hledá, nalézá, a tomu, kdo tluče, bude otevřeno.', 'neboť každý, kdo prosí, dostává, kdo hledá, nalézá, a kdo tluče, tomu bude otevřeno.', 'Nebo každý, kdož prosí, béře; a kdož hledá, nalézá; a tomu, kdož tluče, bude otevříno.']",low
684,Matt 13:3,2,"['I promluvil k nim mnoho věcí v podobenstvích řka: „Hle vyšel rozsévač, aby rozséval.']",low
685,Mark 2:9,3,"['Co jest snazší, říci ochrnulému: ,Odpouštějí se tobě hříchy‘, či-li říci: ,Vstaň, vezmi lože své a choď?‘']",low
686,Luke 2:38,1,"['A ta přišedši v touž hodinu, velebila Boha a mluvila o něm všem, kteří očekávali vykoupení Israelova.']",low
687,Ps 55:2,1,['Smiluj se. Bože. neb šlapají po mně lidé; celý den mne sužují útočníci.'],low
688,Luke 8:7,1,"['A jiné padlo mezi trní, a trní spoluvzrostlé udusilo je.']",low
689,John 16:9,2,"['z hříchu, že nevěří ve mne;']",low
690,1Tim 6:15,3,"['kteréž svým časem ukáže blahoslavený a jediný mocnář, král nad králi a pán nad pány,', 'jež svým časem ukáže požehnaný a jediný Panovník, Král králů a Pán pánů, ']",low
691,Ezek 37:23,1,"['Nebudou se již poskvrňovati modlami svými, ohavnostmi svými a všemi nepravostmi svými; vysvobodím je ode všech míst, na nichž hřešili a očistím je, i budou mým lidem, a já budu jejich Bohem.']",low
692,Matt 13:47,1,"['Také podobno jest království nebeské síti, která byvši spuštěna do moře, shromažďuje ze všeho rodu ryb,']",low
693,Luke 5:6,1,"['A když to učinili, zahrnuli veliké množství ryb a síť jejich se trhala.']",low
694,1Cor 11:19,1,"['neboť i odštěpenství musí býti mezi vámi, aby se stali zjevni mezi vámi ti, kteří jsou osvědčeni.']",low
695,Acts 7:33,4,"['I řekl jemu Pán: Zzuj obuv s noh svých; nebo místo, na kterémž stojíš, země svatá jest.', 'Řekl pak jemu Pán: Zzúj obuv z noh svých: nebo místo, na kterém stojíš, země svatá jest.']",low
696,John 6:4,1,"['Byly pak blízko velikonoce, slavnost židovská.']",low
697,Heb 5:9,18,"['a byv dokonán stal se příčinou věčné spásy všem, kteří ho poslouchají,']",low
698,Ps 129:1,1,"['Píseň stupňová. Z hlubin volám k tobě, Hospodine, Pane, vyslyš hlas můj!']",low
699,1John 4:1,4,"['Nejmilejší, nekaždému duchu věřte, ale zkušújte duchů, jsou-li z Boha: nebo mnozí falešní Proroci vyšli na svět.', 'Miláčkové, nevěřte duchu každému, nýbrž zkoumejte duchy, jsou-li z Boha, neboť mnoho nepravých proroků vyšlo na svět.']",low
700,Gal 1:12,1,"['nebo aniž sem já ho přijal od člověka, ani se naučil, ale skrze zjevení Ježíše Krista.']",low
701,Job 7:1,2,['Bojování je život člověka na zemi; jak dni nádeníka jsou dni jeho.'],low
702,Jude 1:9,4,"['Sám archanděl Michael, když měl spor s ďáblem a vyjednával o Mojžíšovu mrtvolu, neodvážil se vynésti nad ním rouhavý soud, nýbrž řekl jen: „Pán tě potrestej!“ ']",low
703,John 8:7,4,"['Když nepřestávali se ho tázati, zvednul se a řekl: „Kdo z vás jest bez hříchu, vrz první na ni kamenem.“', 'Když se ho nepřestávali ptáti, vzpřímil se a řekl (jim): „Kdo z vás jest bez hříchu, hoď na ni první kamenem.“']",low
704,Luke 8:17,1,"['Nic není tak skrytého, aby se to nestalo zjevným, a nic tak tajného aby se to nepoznalo a nevyšlo najevo.']",low
705,Luke 18:32,1,"['nebo vydán bude Pohanům, a bude posmíván, a bičován, i uplván:']",low
706,Mark 13:33,1,"['Vizte, bděte a modlte se; nebo nevíte, kdy bude ten čas.']",low
707,Jdt 7:4,1,"['Synové pak Izraelští když uzřeli množství jejich, rozprostřeli se na zemi, sypajíce popel na hlavy své, jednomyslně modlíce se aby Bůh Izraelský milosrdenství své ukázal nad lidem svým.']",low
708,Eccl 5:4,1,"['neboť mnohem lépe jest neslibovati, než po slibu, co připověděno, nesplnili.']",low
709,Luke 20:5,1,"['Oni to společně rozvážili a myslili si: „Kdybychom řekli: »Z nebe«, odpoví nám: »Proč jste mu tedy neuvěřili?«;']",low
710,Matt 19:24,4,"['A opět pravím vám: Snáze jest velbloudu projíti uchem jehelním, než boháči vejíti do království nebeského.“']",low
711,Acts 10:31,1,"['A řekl: Kornéli, uslyšánať jest modlitba tvá, a almužny tvé jsouť v paměti před tváří Boží.']",low
712,Matt 6:20,2,"['ale skládejte sobě poklady v nebi, kdežto ani rez ani mol nekazí, a kdežto zloději nevykopávají, ani kradou.']",low
713,Luke 5:5,3,"['I odpověděv Šimon, řekl jemu: Mistře, přes celou noc pracovavše, nic jsme nepopadli, ale k slovu tvému rozestru sít.', 'Šimon mu odpověděl: „Pane, celou noc jsme pracovali a nic jsme nechytili; ale na tvé slovo spustím sítě!“']",low
714,John 6:60,2,"['Tedy mnozí z učedlníků jeho, slyševše to, řekli: Tvrdáť jest tato řeč. Kdo ji může slyšeti?']",low
715,John 3:2,1,"['Ten přišel k Ježíšovi v noci a řekl jemu: „Mistře, víme, že jsi od Boha vyšel jako učitel; neboť nikdo nemůže činiti těch zázraků, které ty činíš, není-li Bůh s ním.“']",low
716,John 3:5,2,"['Ježíš odpověděl: „Vpravdě, vpravdě pravím tobě: Nenarodí-li se kdo znova z vody a Ducha (svatého), nemůže vejíti do království Božího.', 'Odpověděl Ježíš: Amen, amen pravím tobě, nenarodí-li se kdo znovu z vody a z Ducha svatého, nemůže vjíti do Království Božího.']",low
717,John 3:8,2,"['Vítr vane, kde chce, a slyšíš jeho hlas, ale nevíš, odkud přichází a kam jde; tak jest to při každém, kdo se narodil z Ducha.“', 'Vítr, kam chce věje, a hlas jeho slyšíš, ale nevíš, odkud přichází, a kam jde. Takť jest každý, kdo se z Ducha narodil.']",low
718,Judg 19:17,4,"['Stařec pozdvihnuv oči a spatřiv člověka se svým nevelikým nákladem seděti na ulici města, řekl mu: „Odkud přicházíš a kam jdeš?""']",low
